class_of,act,sat,act_over_sat
1986,729606,1000748,0.729
1987,777444,1080426,0.72
1988,842322,1134364,0.743
1989,855171,1088223,0.786
1990,817096,1093833,0.747
1991,796983,1032685,0.772
1992,832217,1034131,0.805
1993,875603,1044465,0.838
1994,891714,1050386,0.849
1995,945369,1067993,0.885
1996,924663,1084725,0.852
1997,959301,1127021,0.851
1998,995039,1172779,0.848
1999,1019053,1220130,0.835
2000,1065138,1260278,0.845
2001,1069772,1276320,0.838
2002,1116082,1327831,0.841
2003,1175059,1406324,0.836
2004,1171460,1419007,0.826
2005,1186251,1475263,0.804
2006,1206455,1465744,0.823
2007,1300599,1494531,0.87
2008,1421941,1518859,0.936
2009,1480469,1530128,0.968
2010,1568835,1597329,0.982
2011,1623112,1647123,0.985
2012,1666017,1664479,1.001
2013,1799243,1660047,1.084
2014,1845787,1672395,1.104
2015,1924436,1698521,1.133
2016,2090342,1637589,1.276
2017,2030038,1715481,1.183
2018,1914817,2136539,0.896
2019,1782820,2220087,0.803
2020,1670497,2198460,0.76